0.000000000 1.000000000 1.000000000 0.000000000 0.000000000
0.100000000 0.942052156 0.983211364 0.053083682 0.015379344
0.200000000 0.886941187 0.967244423 0.106405432 0.030827664
0.300000000 0.831830219 0.951277481 0.154053430 0.044632596
0.400000000 0.784951604 0.937695189 0.202392332 0.058637702
0.500000000 0.738072988 0.924112898 0.239940280 0.069516898
0.600000000 0.704015094 0.914244785 0.278564336 0.080707873
0.700000000 0.669957200 0.904376673 0.302337902 0.087596401
0.800000000 0.652052507 0.899188699 0.327467442 0.094877795
0.900000000 0.634147814 0.894000725 0.335141070 0.097101359
1.000000000 0.634147814 0.894000725 0.344317807 0.099760417
